date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry,outcome,winner_entry
2016-04-18,Barcelona,A,3,C,false,32,R32,Rafael Nadal,1,Spain,ESP,5,1,2313,Marcel Granollers,,Spain,ESP,50,-1,1873,6-3 6-2,,,
2016-04-11,Monte Carlo Masters,M,3,C,false,37,F,Rafael Nadal,5,Spain,ESP,5,7,2306,Gael Monfils,13,France,FRA,16,-7,2137,7-5 5-7 6-0,,,
2016-04-11,Monte Carlo Masters,M,3,C,false,37,SF,Rafael Nadal,5,Spain,ESP,5,14,2292,Andy Murray,2,United Kingdom,GBR,2,-13,2374,2-6 6-4 6-2,,,
2016-04-11,Monte Carlo Masters,M,3,C,false,37,QF,Rafael Nadal,5,Spain,ESP,5,10,2282,Stan Wawrinka,4,Switzerland,SUI,4,-10,2261,6-1 6-4,,,
2016-04-11,Monte Carlo Masters,M,3,C,false,37,R16,Rafael Nadal,5,Spain,ESP,5,5,2277,Dominic Thiem,12,Austria,AUT,14,-5,2096,7-5 6-3,,,
2016-04-11,Monte Carlo Masters,M,3,C,false,37,R32,Rafael Nadal,5,Spain,ESP,5,1,2276,Aljaz Bedene,,Slovenia,SLO,60,-2,1851,6-3 6-3,,,
2016-03-21,Miami Masters,M,3,H,false,57,R64,Damir Dzumhur,,Bosnia and Herzegovina,BIH,94,25,1830,Rafael Nadal,5,Spain,ESP,5,-17,2293,2-6 6-4 3-0 RET,,RET,
2016-03-07,Indian Wells Masters,M,3,H,false,44,SF,Novak Djokovic,1,Serbia,SRB,1,3,2615,Rafael Nadal,4,Spain,ESP,5,-3,2296,7-6(5) 6-2,,,
2016-03-07,Indian Wells Masters,M,3,H,false,44,QF,Rafael Nadal,4,Spain,ESP,5,9,2287,Kei Nishikori,5,Japan,JPN,6,-9,2249,6-4 6-3,,,
2016-03-07,Indian Wells Masters,M,3,H,false,44,R16,Rafael Nadal,4,Spain,ESP,5,3,2284,Alexander Zverev,,Germany,GER,58,-2,1925,6-7(8) 6-0 7-5,,,
2016-03-07,Indian Wells Masters,M,3,H,false,44,R32,Rafael Nadal,4,Spain,ESP,5,2,2282,Fernando Verdasco,,Spain,ESP,65,-3,1960,6-0 7-6(9),,,
2016-03-07,Indian Wells Masters,M,3,H,false,44,R64,Rafael Nadal,4,Spain,ESP,5,3,2279,Gilles Muller,,Luxembourg,LUX,45,-3,1986,6-2 2-6 6-4,,,
2016-02-15,Rio de Janeiro,A,3,C,false,42,SF,Pablo Cuevas,,Uruguay,URU,45,19,1945,Rafael Nadal,1,Spain,ESP,5,-17,2296,6-7(6) 7-6(3) 6-4,,,
2016-02-15,Rio de Janeiro,A,3,C,false,42,QF,Rafael Nadal,1,Spain,ESP,5,1,2295,Alexandr Dolgopolov,,Ukraine,UKR,33,-1,1953,W/O,,W/O,
2016-02-15,Rio de Janeiro,A,3,C,false,42,R16,Rafael Nadal,1,Spain,ESP,5,3,2292,Nicolas Almagro,,Spain,ESP,53,-3,1991,6-3 7-5,,,
2016-02-15,Rio de Janeiro,A,3,C,false,42,R32,Rafael Nadal,1,Spain,ESP,5,1,2291,Pablo Carreno Busta,,Spain,ESP,66,-1,1797,6-1 6-4,,,
2016-02-08,Buenos Aires,B,3,C,false,49,SF,Dominic Thiem,5,Austria,AUT,19,16,2005,Rafael Nadal,1,Spain,ESP,5,-16,2307,6-4 4-6 7-6(4),,,
2016-02-08,Buenos Aires,B,3,C,false,49,QF,Rafael Nadal,1,Spain,ESP,5,1,2306,Paolo Lorenzi,,Italy,ITA,52,-1,1816,7-6(3) 6-2,,,
2016-02-08,Buenos Aires,B,3,C,false,49,R16,Rafael Nadal,1,Spain,ESP,5,2,2304,Juan Monaco,,Argentina,ARG,55,-2,1943,6-4 6-4,,,
2016-01-18,Australian Open,G,5,H,false,75,R128,Fernando Verdasco,,Spain,ESP,45,24,1952,Rafael Nadal,5,Spain,ESP,5,-22,2326,7-6(6) 4-6 3-6 7-6(4) 6-2,,,
2016-01-04,Doha,B,3,H,false,54,F,Novak Djokovic,1,Serbia,SRB,1,4,2605,Rafael Nadal,2,Spain,ESP,5,-3,2329,6-1 6-2,,,
2016-01-04,Doha,B,3,H,false,54,SF,Rafael Nadal,2,Spain,ESP,5,1,2328,Illya Marchenko,,Ukraine,UKR,94,-2,1867,6-3 6-4,,,
2016-01-04,Doha,B,3,H,false,54,QF,Rafael Nadal,2,Spain,ESP,5,1,2327,Andrey Kuznetsov,,Russian Federation,RUS,79,-2,1892,6-3 5-7 6-4,,,
2016-01-04,Doha,B,3,H,false,54,R16,Rafael Nadal,2,Spain,ESP,5,2,2325,Robin Haase,,Netherlands,NED,66,-2,1881,6-3 6-2,,,
2016-01-04,Doha,B,3,H,false,54,R32,Rafael Nadal,2,Spain,ESP,5,,2325,Pablo Carreno Busta,,Spain,ESP,67,-2,1805,6-7(5) 6-3 6-1,,,
2015-11-15,Tour Finals,F,3,H,true,67,SF,Novak Djokovic,1,Serbia,SRB,1,4,2591,Rafael Nadal,5,Spain,ESP,5,-4,2329,6-3 6-3,,,
2015-11-15,Tour Finals,F,3,H,true,67,RR,Rafael Nadal,5,Spain,ESP,5,8,2321,David Ferrer,7,Spain,ESP,7,-8,2223,6-7(2) 6-3 6-4,,,
2015-11-15,Tour Finals,F,3,H,true,67,RR,Rafael Nadal,5,Spain,ESP,5,14,2307,Andy Murray,2,United Kingdom,GBR,2,-14,2403,6-4 6-1,,,
2015-11-15,Tour Finals,F,3,H,true,67,RR,Rafael Nadal,5,Spain,ESP,5,10,2297,Stan Wawrinka,4,Switzerland,SUI,4,-10,2268,6-3 6-2,,,
2015-11-02,Paris Masters,M,3,H,true,71,QF,Stan Wawrinka,4,Switzerland,SUI,4,12,2259,Rafael Nadal,7,Spain,ESP,6,-12,2309,7-6(8) 7-6(7),,,
2015-11-02,Paris Masters,M,3,H,true,71,R16,Rafael Nadal,7,Spain,ESP,6,5,2304,Kevin Anderson,11,South Africa,RSA,12,-6,2126,4-6 7-6(6) 6-2,,,
2015-11-02,Paris Masters,M,3,H,true,71,R32,Rafael Nadal,7,Spain,ESP,6,2,2302,Lukas Rosol,,Czech Republic,CZE,66,-2,1913,6-2 6-2,Q,,
2015-10-26,Basel,A,3,H,true,72,F,Roger Federer,1,Switzerland,SUI,3,7,2435,Rafael Nadal,3,Spain,ESP,7,-7,2309,6-3 5-7 6-3,,,
2015-10-26,Basel,A,3,H,true,72,SF,Rafael Nadal,3,Spain,ESP,7,6,2303,Richard Gasquet,5,France,FRA,11,-6,2180,6-4 7-6(7),,,
2015-10-26,Basel,A,3,H,true,72,QF,Rafael Nadal,3,Spain,ESP,7,6,2297,Marin Cilic,7,Croatia,CRO,13,-6,2169,4-6 6-3 6-3,,,
2015-10-26,Basel,A,3,H,true,72,R16,Rafael Nadal,3,Spain,ESP,7,4,2293,Grigor Dimitrov,,Bulgaria,BUL,28,-3,2071,6-4 4-6 6-3,,,
2015-10-26,Basel,A,3,H,true,72,R32,Rafael Nadal,3,Spain,ESP,7,2,2291,Lukas Rosol,,Czech Republic,CZE,69,-2,1902,1-6 7-5 7-6(4),,,
2015-10-11,Shanghai Masters,M,3,H,false,73,SF,Jo Wilfried Tsonga,16,France,FRA,15,15,2172,Rafael Nadal,8,Spain,ESP,7,-15,2306,6-4 0-6 7-5,,,
2015-10-11,Shanghai Masters,M,3,H,false,73,QF,Rafael Nadal,8,Spain,ESP,7,10,2296,Stan Wawrinka,4,Switzerland,SUI,4,-10,2276,6-2 6-1,,,
2015-10-11,Shanghai Masters,M,3,H,false,73,R16,Rafael Nadal,8,Spain,ESP,7,6,2290,Milos Raonic,9,Canada,CAN,9,-6,2158,6-3 7-6(3),,,
2015-10-11,Shanghai Masters,M,3,H,false,73,R32,Rafael Nadal,8,Spain,ESP,7,3,2287,Ivo Karlovic,,Croatia,CRO,21,-3,2005,7-5 6-7(4) 7-6(4),,,
2015-10-05,Beijing,A,3,H,false,60,F,Novak Djokovic,1,Serbia,SRB,1,4,2576,Rafael Nadal,3,Spain,ESP,8,-4,2291,6-2 6-2,,,
2015-10-05,Beijing,A,3,H,false,60,SF,Rafael Nadal,3,Spain,ESP,8,4,2287,Fabio Fognini,,Italy,ITA,28,-3,2024,7-5 6-3,,,
2015-10-05,Beijing,A,3,H,false,60,QF,Rafael Nadal,3,Spain,ESP,8,3,2284,Jack Sock,,United States,USA,30,-4,2028,3-6 6-4 6-3,,,
2015-10-05,Beijing,A,3,H,false,60,R16,Rafael Nadal,3,Spain,ESP,8,3,2281,Vasek Pospisil,,Canada,CAN,44,-3,1949,7-6(3) 6-4,,,
2015-10-05,Beijing,A,3,H,false,60,R32,Rafael Nadal,3,Spain,ESP,8,1,2280,Di Wu,,China,CHN,230,-2,1781,6-4 6-4,WC,,
2015-09-18,Davis Cup G1,D,5,H,false,,RR,Rafael Nadal,,Spain,ESP,7,,2280,Mikael Torpegaard,,Denmark,DEN,909,-2,1603,6-4 6-3 6-2,,,
2015-08-31,US Open,G,5,H,false,68,R32,Fabio Fognini,32,Italy,ITA,32,25,1974,Rafael Nadal,8,Spain,ESP,8,-22,2302,3-6 4-6 6-4 6-3 6-4,,,
2015-08-31,US Open,G,5,H,false,68,R64,Rafael Nadal,8,Spain,ESP,8,1,2301,Diego Sebastian Schwartzman,,Argentina,ARG,74,-2,1799,7-6(5) 6-3 7-5,,,
2015-08-31,US Open,G,5,H,false,68,R128,Rafael Nadal,8,Spain,ESP,8,2,2299,Borna Coric,,Croatia,CRO,33,-3,1926,6-3 6-2 4-6 6-4,,,
2015-08-16,Cincinnati Masters,M,3,H,false,75,R16,Feliciano Lopez,,Spain,ESP,23,19,1969,Rafael Nadal,8,Spain,ESP,8,-17,2316,5-7 6-4 7-6(3),,,
2015-08-16,Cincinnati Masters,M,3,H,false,75,R32,Rafael Nadal,8,Spain,ESP,8,3,2313,Jeremy Chardy,,France,FRA,27,-3,1995,6-3 6-4,,,
2015-08-10,Canada Masters,M,3,H,false,71,QF,Kei Nishikori,4,Japan,JPN,4,12,2275,Rafael Nadal,7,Spain,ESP,9,-12,2325,6-2 6-4,,,
2015-08-10,Canada Masters,M,3,H,false,71,R16,Rafael Nadal,7,Spain,ESP,9,1,2324,Mikhail Youzhny,,Russian Federation,RUS,107,-2,1841,6-3 6-3,Q,,
2015-08-10,Canada Masters,M,3,H,false,71,R32,Rafael Nadal,7,Spain,ESP,9,1,2323,Sergiy Stakhovsky,,Ukraine,UKR,60,-2,1854,7-6(4) 6-3,,,
2015-07-27,Hamburg,A,3,C,false,39,F,Rafael Nadal,1,Spain,ESP,10,3,2320,Fabio Fognini,8,Italy,ITA,32,-2,1977,7-5 7-5,,,WC
2015-07-27,Hamburg,A,3,C,false,39,SF,Rafael Nadal,1,Spain,ESP,10,3,2317,Andreas Seppi,4,Italy,ITA,26,-3,2012,6-1 6-2,,,WC
2015-07-27,Hamburg,A,3,C,false,39,QF,Rafael Nadal,1,Spain,ESP,10,2,2315,Pablo Cuevas,5,Uruguay,URU,31,-3,1953,6-3 6-2,,,WC
2015-07-27,Hamburg,A,3,C,false,39,R16,Rafael Nadal,1,Spain,ESP,10,1,2314,Jiri Vesely,,Czech Republic,CZE,45,-1,1842,6-4 7-6(2),,,WC
2015-07-27,Hamburg,A,3,C,false,39,R32,Rafael Nadal,1,Spain,ESP,10,2,2312,Fernando Verdasco,,Spain,ESP,41,-3,2000,3-6 6-1 6-1,,,WC
2015-06-29,Wimbledon,G,5,G,false,86,R64,Dustin Brown,,Germany,GER,102,34,1825,Rafael Nadal,10,Spain,ESP,10,-22,2334,7-5 3-6 6-4 6-4,,,Q
2015-06-29,Wimbledon,G,5,G,false,86,R128,Rafael Nadal,10,Spain,ESP,10,2,2332,Thomaz Bellucci,,Brazil,BRA,42,-3,1954,6-4 6-2 6-4,,,
2015-06-15,Queen's Club,A,3,G,false,100,R32,Alexandr Dolgopolov,,Ukraine,UKR,79,17,1967,Rafael Nadal,5,Spain,ESP,10,-15,2347,6-3 6-7(6) 6-4,,,
2015-06-08,Stuttgart,B,3,G,false,93,F,Rafael Nadal,1,Spain,ESP,10,2,2345,Viktor Troicki,8,Serbia,SRB,28,-3,2015,7-6(3) 6-3,,,
2015-06-08,Stuttgart,B,3,G,false,93,SF,Rafael Nadal,1,Spain,ESP,10,5,2340,Gael Monfils,4,France,FRA,16,-5,2164,6-3 6-4,,,
2015-06-08,Stuttgart,B,3,G,false,93,QF,Rafael Nadal,1,Spain,ESP,10,2,2338,Bernard Tomic,5,Australia,AUS,24,-2,1970,6-4 6-7(6) 6-3,,,
2015-06-08,Stuttgart,B,3,G,false,93,R16,Rafael Nadal,1,Spain,ESP,10,1,2337,Marcos Baghdatis,,Cyprus,CYP,63,-1,1911,7-6(5) 6-7(4) 6-2,,,
2015-05-24,Roland Garros,G,5,C,false,46,QF,Novak Djokovic,1,Serbia,SRB,1,6,2581,Rafael Nadal,6,Spain,ESP,7,-5,2342,7-5 6-3 6-1,,,
2015-05-24,Roland Garros,G,5,C,false,46,R16,Rafael Nadal,6,Spain,ESP,7,3,2339,Jack Sock,,United States,USA,37,-4,2032,6-3 6-1 5-7 6-2,,,
2015-05-24,Roland Garros,G,5,C,false,46,R32,Rafael Nadal,6,Spain,ESP,7,2,2337,Andrey Kuznetsov,,Russian Federation,RUS,120,-2,1879,6-1 6-3 6-2,,,
2015-05-24,Roland Garros,G,5,C,false,46,R64,Rafael Nadal,6,Spain,ESP,7,4,2333,Nicolas Almagro,,Spain,ESP,154,-4,2030,6-4 6-3 6-1,,,
2015-05-24,Roland Garros,G,5,C,false,46,R128,Rafael Nadal,6,Spain,ESP,7,,2333,Quentin Halys,,France,FRA,296,-2,1669,6-3 6-3 6-4,WC,,
2015-05-10,Rome Masters,M,3,C,false,60,QF,Stan Wawrinka,8,Switzerland,SUI,9,15,2200,Rafael Nadal,4,Spain,ESP,7,-14,2347,7-6(7) 6-2,,,
2015-05-10,Rome Masters,M,3,C,false,60,R16,Rafael Nadal,4,Spain,ESP,7,3,2344,John Isner,16,United States,USA,17,-4,2091,6-4 6-4,,,
2015-05-10,Rome Masters,M,3,C,false,60,R32,Rafael Nadal,4,Spain,ESP,7,1,2343,Marsel Ilhan,,Turkey,TUR,87,-1,1777,6-2 6-0,Q,,
2015-05-03,Madrid Masters,M,3,C,false,63,F,Andy Murray,2,United Kingdom,GBR,3,12,2348,Rafael Nadal,3,Spain,ESP,4,-13,2356,6-3 6-2,,,
2015-05-03,Madrid Masters,M,3,C,false,63,SF,Rafael Nadal,3,Spain,ESP,4,9,2347,Tomas Berdych,6,Czech Republic,CZE,7,-9,2272,7-6(3) 6-1,,,
2015-05-03,Madrid Masters,M,3,C,false,63,QF,Rafael Nadal,3,Spain,ESP,4,6,2341,Grigor Dimitrov,10,Bulgaria,BUL,11,-6,2156,6-3 6-4,,,
2015-05-03,Madrid Masters,M,3,C,false,63,R16,Rafael Nadal,3,Spain,ESP,4,1,2340,Simone Bolelli,,Italy,ITA,63,-2,1939,6-2 6-2,,,
2015-05-03,Madrid Masters,M,3,C,false,63,R32,Rafael Nadal,3,Spain,ESP,4,2,2338,Steve Johnson,,United States,USA,54,-2,1921,6-4 6-3,,,
2015-04-20,Barcelona,A,3,C,false,36,R16,Fabio Fognini,13,Italy,ITA,30,18,1940,Rafael Nadal,2,Spain,ESP,4,-16,2354,6-4 7-6(6),,,
2015-04-20,Barcelona,A,3,C,false,36,R32,Rafael Nadal,2,Spain,ESP,4,2,2352,Nicolas Almagro,,Spain,ESP,123,-3,2026,6-3 6-1,,,
2015-04-12,Monte Carlo Masters,M,3,C,false,34,SF,Novak Djokovic,1,Serbia,SRB,1,6,2555,Rafael Nadal,3,Spain,ESP,5,-5,2357,6-3 6-3,,,
2015-04-12,Monte Carlo Masters,M,3,C,false,34,QF,Rafael Nadal,3,Spain,ESP,5,7,2350,David Ferrer,5,Spain,ESP,7,-7,2234,6-4 5-7 6-2,,,
2015-04-12,Monte Carlo Masters,M,3,C,false,34,R16,Rafael Nadal,3,Spain,ESP,5,3,2347,John Isner,15,United States,USA,19,-4,2072,7-6(6) 4-6 6-3,,,
2015-04-12,Monte Carlo Masters,M,3,C,false,34,R32,Rafael Nadal,3,Spain,ESP,5,1,2346,Lucas Pouille,,France,FRA,108,-1,1783,6-2 6-1,WC,,
2015-03-25,Miami Masters,M,3,H,false,53,R32,Fernando Verdasco,29,Spain,ESP,34,19,1995,Rafael Nadal,2,Spain,ESP,3,-17,2363,6-4 2-6 6-3,,,
2015-03-25,Miami Masters,M,3,H,false,53,R64,Rafael Nadal,2,Spain,ESP,3,2,2361,Nicolas Almagro,,Spain,ESP,74,-2,2029,6-4 6-2,,,
2015-03-12,Indian Wells Masters,M,3,H,false,64,QF,Milos Raonic,6,Canada,CAN,6,16,2191,Rafael Nadal,3,Spain,ESP,3,-15,2376,4-6 7-6(10) 7-5,,,
2015-03-12,Indian Wells Masters,M,3,H,false,64,R16,Rafael Nadal,3,Spain,ESP,3,3,2373,Gilles Simon,13,France,FRA,14,-3,2074,6-2 6-4,,,
2015-03-12,Indian Wells Masters,M,3,H,false,64,R32,Rafael Nadal,3,Spain,ESP,3,1,2372,Donald Young,,United States,USA,47,-1,1928,6-4 6-2,,,
2015-03-12,Indian Wells Masters,M,3,H,false,64,R64,Rafael Nadal,3,Spain,ESP,3,,2372,Igor Sijsling,,Netherlands,NED,134,-1,1713,6-4 6-2,,,
2015-02-23,Buenos Aires,B,3,C,false,41,F,Rafael Nadal,1,Spain,ESP,4,2,2370,Juan Monaco,,Argentina,ARG,60,-2,1962,6-4 6-1,,,
2015-02-23,Buenos Aires,B,3,C,false,41,SF,Rafael Nadal,1,Spain,ESP,4,1,2369,Carlos Berlocq,,Argentina,ARG,74,-1,1883,7-6(7) 6-2,,,
2015-02-23,Buenos Aires,B,3,C,false,41,QF,Rafael Nadal,1,Spain,ESP,4,1,2368,Federico Delbonis,,Argentina,ARG,59,-1,1814,6-1 6-1,,,
2015-02-23,Buenos Aires,B,3,C,false,41,R16,Rafael Nadal,1,Spain,ESP,4,,2368,Facundo Arguello,,Argentina,ARG,146,-1,1648,6-4 6-0,Q,,
2015-02-16,Rio de Janeiro,A,3,C,false,40,SF,Fabio Fognini,4,Italy,ITA,28,20,1962,Rafael Nadal,1,Spain,ESP,3,-18,2386,1-6 6-2 7-5,,,
2015-02-16,Rio de Janeiro,A,3,C,false,40,QF,Rafael Nadal,1,Spain,ESP,3,2,2384,Pablo Cuevas,6,Uruguay,URU,23,-2,1969,4-6 7-5 6-0,,,
2015-02-16,Rio de Janeiro,A,3,C,false,40,R16,Rafael Nadal,1,Spain,ESP,3,,2384,Pablo Carreno Busta,,Spain,ESP,55,-1,1814,7-5 6-3,,,
2015-02-16,Rio de Janeiro,A,3,C,false,40,R32,Rafael Nadal,1,Spain,ESP,3,1,2383,Thomaz Bellucci,,Brazil,BRA,64,-1,1905,6-4 6-1,,,
2015-01-19,Australian Open,G,5,H,false,72,QF,Tomas Berdych,7,Czech Republic,CZE,7,22,2194,Rafael Nadal,3,Spain,ESP,3,-21,2404,6-2 6-0 7-6(5),,,
2015-01-19,Australian Open,G,5,H,false,72,R16,Rafael Nadal,3,Spain,ESP,3,4,2400,Kevin Anderson,14,South Africa,RSA,15,-3,2059,7-5 6-1 6-4,,,
2015-01-19,Australian Open,G,5,H,false,72,R32,Rafael Nadal,3,Spain,ESP,3,1,2399,Dudi Sela,,Israel,ISR,106,-2,1875,6-1 6-0 7-5,,,
2015-01-19,Australian Open,G,5,H,false,72,R64,Rafael Nadal,3,Spain,ESP,3,1,2398,Tim Smyczek,,United States,USA,112,-1,1831,6-2 3-6 6-7(2) 6-3 7-5,Q,,
2015-01-19,Australian Open,G,5,H,false,72,R128,Rafael Nadal,3,Spain,ESP,3,1,2397,Mikhail Youzhny,,Russian Federation,RUS,49,-2,1933,6-3 6-2 6-2,,,
2015-01-05,Doha,B,3,H,false,74,R32,Michael Berrer,,Germany,GER,127,29,1772,Rafael Nadal,2,Spain,ESP,3,-16,2413,1-6 6-3 6-4,,,Q
2014-10-20,Basel,A,3,H,true,79,QF,Borna Coric,,Croatia,CRO,124,30,1794,Rafael Nadal,2,Spain,ESP,3,-17,2431,6-2 7-6(4),,,WC
2014-10-20,Basel,A,3,H,true,79,R16,Rafael Nadal,2,Spain,ESP,3,,2431,Pierre Hugues Herbert,,France,FRA,120,,1753,6-1 6-1,Q,,
2014-10-20,Basel,A,3,H,true,79,R32,Rafael Nadal,2,Spain,ESP,3,1,2430,Simone Bolelli,,Italy,ITA,75,,1852,6-2 6-2,Q,,
2014-10-05,Shanghai Masters,M,3,H,false,82,R32,Feliciano Lopez,,Spain,ESP,21,19,2050,Rafael Nadal,2,Spain,ESP,2,-18,2448,6-3 7-6(6),,,
2014-09-29,Beijing,A,3,H,false,47,QF,Martin Klizan,,Slovakia,SVK,56,20,1956,Rafael Nadal,2,Spain,ESP,2,-18,2466,6-7(7) 6-4 6-3,,,Q
2014-09-29,Beijing,A,3,H,false,47,R16,Rafael Nadal,2,Spain,ESP,2,1,2465,Peter Gojowczyk,,Germany,GER,122,-1,1816,6-3 6-4,Q,,
2014-09-29,Beijing,A,3,H,false,47,R32,Rafael Nadal,2,Spain,ESP,2,1,2464,Richard Gasquet,,France,FRA,22,-2,2085,6-4 6-0,,,
2014-06-23,Wimbledon,G,5,G,false,89,R16,Nick Kyrgios,,Australia,AUS,144,35,1845,Rafael Nadal,2,Spain,ESP,1,-25,2490,7-6(5) 5-7 7-6(5) 6-3,,,WC
2014-06-23,Wimbledon,G,5,G,false,89,R32,Rafael Nadal,2,Spain,ESP,1,1,2489,Mikhail Kukushkin,,Kazakhstan,KAZ,63,-1,1835,6-7(4) 6-1 6-1 6-1,,,
2014-06-23,Wimbledon,G,5,G,false,89,R64,Rafael Nadal,2,Spain,ESP,1,,2489,Lukas Rosol,,Czech Republic,CZE,52,-1,1899,4-6 7-6(6) 6-4 6-4,,,
2014-06-23,Wimbledon,G,5,G,false,89,R128,Rafael Nadal,2,Spain,ESP,1,1,2488,Martin Klizan,,Slovakia,SVK,51,-2,1966,4-6 6-3 6-3 6-3,,,
2014-06-09,Halle,B,3,G,false,90,R16,Dustin Brown,,Germany,GER,85,22,1835,Rafael Nadal,1,Spain,ESP,1,-15,2503,6-4 6-1,,,WC
2014-05-26,Roland Garros,G,5,C,false,40,F,Rafael Nadal,1,Spain,ESP,1,19,2484,Novak Djokovic,2,Serbia,SRB,2,-20,2552,3-6 7-5 6-2 6-4,,,
2014-05-26,Roland Garros,G,5,C,false,40,SF,Rafael Nadal,1,Spain,ESP,1,8,2476,Andy Murray,7,United Kingdom,GBR,8,-8,2306,6-3 6-2 6-1,,,
2014-05-26,Roland Garros,G,5,C,false,40,QF,Rafael Nadal,1,Spain,ESP,1,5,2471,David Ferrer,5,Spain,ESP,5,-5,2224,4-6 6-4 6-0 6-1,,,
2014-05-26,Roland Garros,G,5,C,false,40,R16,Rafael Nadal,1,Spain,ESP,1,1,2470,Dusan Lajovic,,Serbia,SRB,83,-1,1825,6-1 6-2 6-1,,,
2014-05-26,Roland Garros,G,5,C,false,40,R32,Rafael Nadal,1,Spain,ESP,1,,2470,Leonardo Mayer,,Argentina,ARG,65,-1,1905,6-2 7-5 6-2,,,
2014-05-26,Roland Garros,G,5,C,false,40,R64,Rafael Nadal,1,Spain,ESP,1,1,2469,Dominic Thiem,,Austria,AUT,57,-1,1875,6-2 6-2 6-3,,,
2014-05-26,Roland Garros,G,5,C,false,40,R128,Rafael Nadal,1,Spain,ESP,1,1,2468,Robby Ginepri,,United States,USA,279,-1,1779,6-0 6-3 6-0,WC,,
2014-05-11,Rome Masters,M,3,C,false,43,F,Novak Djokovic,2,Serbia,SRB,2,11,2529,Rafael Nadal,1,Spain,ESP,1,-11,2479,4-6 6-3 6-3,,,
2014-05-11,Rome Masters,M,3,C,false,43,SF,Rafael Nadal,1,Spain,ESP,1,3,2476,Grigor Dimitrov,12,Bulgaria,BUL,14,-3,2156,6-2 6-2,,,
2014-05-11,Rome Masters,M,3,C,false,43,QF,Rafael Nadal,1,Spain,ESP,1,6,2470,Andy Murray,7,United Kingdom,GBR,8,-5,2291,1-6 6-3 7-5,,,
2014-05-11,Rome Masters,M,3,C,false,43,R16,Rafael Nadal,1,Spain,ESP,1,1,2469,Mikhail Youzhny,14,Russian Federation,RUS,16,-2,2019,6-7(4) 6-2 6-1,,,
2014-05-11,Rome Masters,M,3,C,false,43,R32,Rafael Nadal,1,Spain,ESP,1,1,2468,Gilles Simon,,France,FRA,30,-1,1960,7-6(1) 6-7(4) 6-2,,,
2014-05-04,Madrid Masters,M,3,C,false,64,F,Rafael Nadal,1,Spain,ESP,1,4,2464,Kei Nishikori,10,Japan,JPN,12,-4,2195,2-6 6-4 3-0 RET,,RET,
2014-05-04,Madrid Masters,M,3,C,false,64,SF,Rafael Nadal,1,Spain,ESP,1,2,2462,Roberto Bautista Agut,,Spain,ESP,45,-2,2008,6-4 6-3,,,
2014-05-04,Madrid Masters,M,3,C,false,64,QF,Rafael Nadal,1,Spain,ESP,1,4,2458,Tomas Berdych,6,Czech Republic,CZE,6,-4,2224,6-4 6-2,,,
2014-05-04,Madrid Masters,M,3,C,false,64,R16,Rafael Nadal,1,Spain,ESP,1,1,2457,Jarkko Nieminen,,Finland,FIN,57,-1,1905,6-1 6-4,,,
2014-05-04,Madrid Masters,M,3,C,false,64,R32,Rafael Nadal,1,Spain,ESP,1,1,2456,Juan Monaco,,Argentina,ARG,56,-1,1909,6-1 6-0,,,
2014-04-21,Barcelona,A,3,C,false,39,QF,Nicolas Almagro,6,Spain,ESP,20,18,2065,Rafael Nadal,1,Spain,ESP,1,-17,2473,2-6 7-6(5) 6-4,,,
2014-04-21,Barcelona,A,3,C,false,39,R16,Rafael Nadal,1,Spain,ESP,1,1,2472,Ivan Dodig,,Croatia,CRO,37,-1,1937,6-3 6-3,,,
2014-04-21,Barcelona,A,3,C,false,39,R32,Rafael Nadal,1,Spain,ESP,1,,2472,Albert Ramos,,Spain,ESP,103,-1,1862,7-6(2) 6-4,,,
2014-04-13,Monte Carlo Masters,M,3,C,false,35,QF,David Ferrer,6,Spain,ESP,6,18,2203,Rafael Nadal,1,Spain,ESP,1,-17,2489,7-6(1) 6-4,,,
2014-04-13,Monte Carlo Masters,M,3,C,false,35,R16,Rafael Nadal,1,Spain,ESP,1,1,2488,Andreas Seppi,,Italy,ITA,35,-1,1970,6-1 6-3,,,
2014-04-13,Monte Carlo Masters,M,3,C,false,35,R32,Rafael Nadal,1,Spain,ESP,1,,2488,Teymuraz Gabashvili,,Russian Federation,RUS,58,,1850,6-4 6-1,Q,,
2014-03-19,Miami Masters,M,3,H,false,66,F,Novak Djokovic,2,Serbia,SRB,2,11,2526,Rafael Nadal,1,Spain,ESP,1,-11,2499,6-3 6-3,,,
2014-03-19,Miami Masters,M,3,H,false,66,SF,Rafael Nadal,1,Spain,ESP,1,2,2497,Tomas Berdych,7,Czech Republic,CZE,7,-2,2238,W/O,,W/O,
2014-03-19,Miami Masters,M,3,H,false,66,QF,Rafael Nadal,1,Spain,ESP,1,2,2495,Milos Raonic,12,Canada,CAN,12,-3,2140,4-6 6-2 6-4,,,
2014-03-19,Miami Masters,M,3,H,false,66,R16,Rafael Nadal,1,Spain,ESP,1,2,2493,Fabio Fognini,14,Italy,ITA,14,-2,2095,6-2 6-2,,,
